부문.본부,사업분야,현장코드,현장명,착공일(최종),준공일(최종),CM,공무,예산팀담당자,당사직원수(HR),전일,금일출역인원,PLAN계획,ACT실시,보할집계기준월,차수,실행구분,실행예산 리스트,상태,착공이후경과개월수,주소,공사개요
건축.주택,주택,090780,장위자이레디언트(서울),2022-04-01,2025-03-31,김재훈 CM,윤경환 공무,김재경  ,84,"   1,589","   1,461",81.4,69.2,202408,9차,변경,전체실행,완료,30,서울특별시 성북구 장위동 62-1번지 일대,"1)공사기간: 2022.04.01~2025.03.31(36개월)

2)사업규모 및 분류
 
- 대지면적 : 106,438㎡, 연면적 : 443,295.56㎡

- 건폐율 : 23.25%, 용적율 : 261.21%

- 아파트 : 31개동, 2840세대(임대484), 지하3층~31층, 주차대수 : 3,929대
   (1BL:10개동,2BL:12개동,3BL:5개동,4BL:4개동)
 
-사업분류 : 단독, 재개발

3)부대시설 
 - 주민공동시설,근린생활시설
 - 부대복리시설
   (경비실,관리사무소,방재실,MDF실,경로당,보육시설,
    작은도서관,맘스테이션,티하우스)
아파트면세율:95.50%"
건축.주택,주택,092080,메이플자이(서울),2021-10-28,2025-06-27,안용진 담당,김동규 공무,김민주  ,100,"   1,575","   1,508",60.3,60,202407,11차,변경,"[2024.06.26] 전기,설비 변경실행",완료,35,서울특별시 서초구 잠원동 60-3번지 일대,"신반포4지구재건축정비사업

아파트 : 29개동 (지하4층~지상35층), 3,307세대
근생(지하4층~지상5층), 부속동, 문화시설 등

-17.10.17 사업시행인가
-18.12.03 관리처분인가
-21.08.02 사업시행변경인가
-21.10.28 착공  (25.06준공예정)"
건축.주택,주택,092110,철산자이더헤리티지(경기),2021-12-31,2025-05-30,공회진 담당,한대성 공무,김태훈  ,80,"   1,493","   1,354",62.4,66.7,202408,9차,변경,[2024.05.27] 내역 미입력분 수정,완료,33,경기도 광명시 철산동 235번지 일대,"  APT 23개동 (B3층 ~ 40층) 3,804세대, 지하주차장(지하 1~3층), 주민공동시설, 근린생활시설, 부대시설, 주차대수 5,319대(세대당 1.37대)
연면적(591,208.0794M2)"
건축.주택,주택,210160,송도자이더스타(인천),2021-10-01,2024-12-31,박인기 CM,권오준 공무,김민주  ,47,     867,     814,70,68,202403,8차,변경,[2024.06.11] 실행변경1차,완료,36,인천광역시 연수구 송도동 396-11번지,"건물규모 : 지하1층~지상44층 (RC)
 - 아파트 9개동
   총 1,533세대 (테라스하우스 1개동 48세대 포함)
 - 지하주차장 1개동(지하2층)
 - 주차대수 : 2,414대
    공동주택  2,351대(1.53대/세대) 
    근린생활시설 63대
    근린생활시설 63대
부대복리시설
  - 근린생활시설, 관리사무소, 경비실,
    주민공동시설(경로당,어린이집,주민운동시설 등)
"
건축.주택,주택,150840,이문아이파크자이(서울),2021-10-26,2025-11-25,이광수 CM,안상건 공무,이승호  ,48,     804,     819,57.7,57.7,202408,10차,변경,[2024.08.27] 전체실행,진행중,35,서울특별시 동대문구 이문동 255-185 일원,"1. 3-1-2BL(분담이행, GS분)
   - 위      치 : 서울특별시 동대문구 이문동 149-8 일원
   - 건축  면적 : 9,896M2 (2,994평)
   - 연  면  적 : 287,867M2 (87,080평)
   - 규모및용도 : 지하6층 ~지상36층 / 아파트 10개동 / 2,173세대
                  근린생활시설 및 주민공동시설 외 부속동

2. 3-2BL(공동이행, 지분 GS:현산=50:50)
   - 위      치 : 서울특별시 동대문구 이문동 412-1 일원
   - 건축  면적 : 6,577M2 (1,993.1평)
   - 연  면  적 : 25,792M2 (7,815.7평)
   - 규모및용도 : 지하1층 ~지상4층 / 아파트 7개동 / 152세대
                  관리사무소 외 부속동"
건축.주택,주택,220040,음성자이센트럴시티(충북),2022-11-28,2025-11-27,손동성 CM,최진만 공무,김현수  ,40,     690,     661,52.2,56.5,202408,4차,전체실행,[2023.12.08] 전체실행,완료,22,충청북도 음성군 금왕읍 무극리 504-5번지 일원 ," -. 아파트 16개동 1,505세대 (1~27층)
 -. 주차장 B3F~B1F (주차대수 아파트 2,138대 / 근생 10대)
   # 세대당 주차대수 1.42대 (근생제외)
 -. 관리사무소, 주민공동시설, 근린생활시설
     주민운동시설, 어린이집, 경로당 外"
건축.주택,주택,151160,운암자이포레나퍼스티체(광주),2022-11-01,2026-03-31,이재근 CM,윤성근 공무,차동호  ,46,     641,     610,50.1,49.5,202408,8차,변경,[2024.08.02] 전체실행,진행중,23,광주광역시 북구 운암동 252번지 일대,"- 건축규모: 지하3층~지상29층, APT 37개동 (당사분 20개동)
             총 3,214세대 (당사분 1,687세대), 주차 1.33대
- 주요시설: 주민공동시설, 근린생활시설,
             경로당, 보육시설, 커뮤니티센터
- 지분: GS(47.5%/주간사), 한화(42.5%), HDC현산(10%)"
건축.주택,주택,151250,철산자이브리에르(경기),2022-10-31,2026-01-31,이준기 CM,박기원 공무,김현수  ,39,     640,     606,47.3,47.3,202408,7차,변경,[2024.08.20] 전체실행,진행중,23,경기도 광명시 철산동 105번지 일대,"APT 14개동(지하2층~40층), 1490세대, 주민공동시설,근린생활시설, 부대시설"
건축.주택,건축,190440,LG사이언스파크 DP2 2단계 신축공사(서울),2019-12-20,2024-12-31,김장호 CM,서석수 공무,하정환  ,40,     635,     549,84.3,84.3,202408,2차,변경,[2024.05.24] 1차 변경,완료,58,서울특별시 강서구 마곡중앙10로 10," 1. 규모: 지하4층, 지상 9~10층 4개동
 2. 구조 : 철근콘크리트조, 철골철근콘크리트조"
건축.주택,주택,092470,대명자이그랜드시티(대구),2023-01-10,2026-04-30,차영철 CM,지동섭 공무,이용빈  ,48,     633,     618,0,0,202309,6차,변경,[2024.03.27] 전체실행,완료,20,대구광역시 남구 대명3동 2304-30번지,"아파트 17개동 지하3층 ~지상34층 2,023세대
주차장 지하3개층 / 주차대수 2,847대(세대당 1.40대)
근린생활시설, 경로당, 어린이집, 주민카페, 휘트니스센터, 주민공동시설(작은도서관 포함)"
건축.주택,주택,111390,광명자이더샵포레나(경기),2022-06-15,2025-12-14,최민수 CM,김준희 공무,김재경  ,38,     627,     573,52,52,202408,8차,변경,[2024.06.27] 전체실행,완료,27,경기도 광명시 광명동 9-8번지 일원,"대지면적 : 107,514m2 (당사분 44,780m2)
연  면  적 : 460,463m2 (당사분 60,210m2)
용  적  율 : 296.43%
공사규모 : 아파트 28개동(B3F~38F) 3,585세대 (당사분 아파트11개동(B3F~38F) 1,541세대)
                   지하주차장 B3F~B1F(1.16대/세대)
                   근린생활시설, 주민운동시설, 어린이집, 경로당 외"
건축.주택,주택,200690,두류역자이(대구),2021-09-17,2025-08-31,김병규 CM,박용환 공무,김재호  ,32,     625,     582,,,,5차,변경,[2023.12.19] 전체실행편성,완료,36,대구광역시 서구 내당동 220-1번지 일원,"아파트 7개동, 지하4층~지상49층, 1300세대, 업무시설 86실, 부대시설, 판매시설"
건축.주택,주택,190960,익산자이그랜드파크(전북),2022-01-15,2025-02-28,성치원 CM,최재만 공무,김재경  ,37,     609,     577,41.6,42,202309,6차,변경,[2023.12.01] 전체실행,완료,32,전라북도 익산시 마동 산41번지 외 52필지,"아파트 : 1,431세대 / 9개동 (지하3층 ~ 지상38층)
근린생활시설 : 1,359평
부대복리시설 : 주민공동시설, 경로당, 보육시설 등
주차대수 
 - 아파트 2,162세대(세대당 1.51대)
 - 근린생활시설 48대 "
건축.주택,주택,201050,포항자이애서턴(경북),2022-01-01,2026-05-31,김해수 CM,박성수 공무,김태훈  ,48,     579,     569,,,,6차,변경,[2024.06.28] 확정실행,진행중,33,경상북도 포항시 북구 학잠동 93-4번지 일원," □ 건물규모
     : 지하3층~지상38층 (RC)
  
  - 아파트 10개동, 테라스동 5개동
       총 1,433세대 (10개 Type)

   - 부대복리시설
      근린생활시설, 부대복리시설(관리사무소,
      경로당, 보육시설 등), 경비실
"
건축.주택,주택,210180,나주역자이리버파크(전남),2021-12-02,2025-01-31,이선호 CM,민구 공무,이승호  ,39,     569,     510,80.8,78.6,202408,9차,변경,[2023.12.05] 전체실행,완료,34,전라남도 나주시 송월동 135-3번지 일원,"아파트 : 1,554세대 / 18개동(B3F ~ 32F)
근린생활시설 : 4,940.19M2
부대복리시설 : 주민공동시설, 경로당, 보육시설 등
주차대수
 - 아파트 2,173대(세대당 1.395대)
 - 근린생활시설 32대 "
건축.주택,주택,140370,인덕원자이SKVIEW(경기),2022-04-01,2025-04-30,김환 CM,윤하경 공무,김현수  ,47,     519,     462,71.4,69.8,202408,7차,변경,[2024.06.21] 전체실행,완료,30,경기도 의왕시 내손동 683번지,"- 지분율: GS: SK = 60 : 40
- APT 총 20개동 (2,633 세대) 중 당사분 12개동 1,639 세대 (지하4층 ~ 지상 29층), 근린생활시설, 주민공동시설 등. "
건축.주택,주택,200560,별내자이더스타이그제큐티브(경기),2022-09-01,2025-12-31,신진영 CM,김종일 공무,차동호  ,33,     504,     469,57.5,59,202408,7차,변경,[2024.06.25] 전체실행,진행중,25,경기도 남양주시 별내동 1001번지 외,"생활형숙박시설 및 오피스텔 6개동, 지하 4층 ~ 지상 29층, 760세대"
건축.주택,주택,200941,운정자이시그니처(경기),2023-03-10,2026-03-16,김준홍 CM,박승우 공무,이용빈  ,34,     494,     489,,,,5차,전체실행,[2024.06.28] 전체실행,진행중,18, 파주시 목동동 산26일원,"아파트 13개동(지하2~지상28층), 988세대, 지하주차장, 근린생활시설, 세대주차대수 1,533대(세대당1.55대)"
건축.주택,주택,092010,휘경자이디센시아(서울),2022-04-21,2025-06-30,김기성 CM,김용철 공무,차동호  ,42,     476,     454,66.8,66.8,202408,8차,변경,전체실행,완료,29,서울특별시 동대문구 휘경동 172번지 일대,"-. 아파트 : 14개동 1,806세대(B3 ~ 35층) 
-. 주차장 : 지하3층, 세대수: 2,159대
-. 부대복리시설 : 클럽자이안(사우나,카페,헬스클럽,실내골프장,독서실 외), 어린이집, 근린생활시설 외
-. 평형 구성 : 39m2(327세대),49m2(98세대),59A(271세대),59B(524세대),59C(58세대),59D(267세대),84A(194세대), 84B(67세대)

"
건축.주택,주택,210870,원주자이센트로(강원),2023-07-20,2026-06-30,최용욱 CM,전진원 공무,김재경  ,32,     448,     433,11.3,11.2,202408,4차,전체실행,[2024.06.26] 전체실행,진행중,14,원주시 단구동 922번지 일원 A1블럭,"■ 아파트 : 8 개동 970세대 (B3F~최대 29층)
■ 주차장 : 지하3층, 주차대수 1,323대(세대당 1.36대) 
■ 부대복리시설 : 커뮤니티센터, 어린이집, 
                        경로당, 관리사무소, 작은도서관 등
■ 근린생활시설 : 단지내 상가
"
건축.주택,주택,210590,화성동탄2A93블록공공주택사업(경기),2023-03-24,2025-10-24,윤필구 CM,이정학 공무,황경업  ,30,     445,     409,46.7,45.4,202408,6차,변경,[2024.08.24] 전체실행,진행중,18,화성시 동탄순환대로8길 16,"■ 현장명 : 화성동탄2 A93BL 
■ 사업명 : 화성동탄2 A93BL 민간참여 공공주택건설 사업
■ 공사기간 : 2023년 03월 ~ 2025년 10월
■ 규모 : 아파트 8개동(지하2층~지상28층) 965세대,지하주차장(B2),근린생활시설 등
"
건축.주택,주택,170170,창원자이시그니처(경남),2022-07-01,2025-04-30,김재현 CM,정명수  ,김태훈  ,36,     427,     368,73.7,73.5,202408,6차,전체실행,[2023.12.04] 전체실행,완료,27,경상남도 창원시 성산구 원이대로878번길 16 , 공사 규모 : 지하2층/지상 30층 아파트 8개동 786세대
플랜트,플랜트,230400,에버그린프로젝트(전남),2023-05-31,2025-08-31,최준규 PD,권재한 공무,윤동열  ,39,     420,     402,,,,1차,전체실행,[2023.08.24] 전체실행예산,완료,16, 전남 여수시 중흥동 1721-1 번지(MFC 유휴 부지 내)," 1) 사업명 : EVERGREEN Project
 2) 현장위치 : 전남 여수시 중흥동 1721-1번지 (MFC 유휴부지 내)
 3) 사업규모 : EVA 300 KTA
 4) 역무범위 : EPC "
건축.주택,주택,070120,청계리버뷰자이(서울),2023-11-13,2027-02-28,이미승 CM,이관훈 공무,신대철  ,49,     417,     409,,,,2차,부분,"[2024.06.04] 부분실행 2차(미장,조적,방수)",완료,10,서울시 성동구 용답동 108-1번지 일원,"건물 규모  : 지하2층 ~ 지상35층
   - 아파트 14개동, 1,670세대
   - 지하주차장 (지하2층)
   - 주차대수 : 2,095대(1.25대/세대)
주요시설
   - 주민공동시설, 경로당, 근린생활시설 등
"
건축.주택,주택,092200,영등포자이디그니티(서울),2023-02-01,2026-03-31,류창수 CM,박은규 공무,김현수  ,32,     417,     381,,,,5차,전체실행,[2024.08.20] 전체실행,진행중,20,서울시 영등포구 양평동1가 251번지 일대," [공동주택]
 .아파트 : 지하2층~지상 35층 4개동 707세대
 .주차장 : 지하2층, 주차대수 866대(세대당 1.22대) 
 .부대복리시설 : 커뮤니티센터, 어린이집, 
                             경로당, 관리사무소, 작은도서관 등
 .근린생활시설 : 단지내 상가

[지식산업센터]
 .지하2층 ~ 지상12층 (237실)"
건축.주택,주택,211080,상무센트럴자이(광주),2022-05-27,2025-03-31,정필제 CM,서희전 공무,김태훈  ,32,     383,     364,,,,5차,변경,[2024.06.24] [2024.06.24] 전체실행,진행중,28,광주광역시 서구 쌍촌동 600번지 일원,"건축규모 : 
B3F ~30F, APT 14개동, 총 903세대, 주차 1.72대
부속건물 : 
주민공동/근린생활/경로당 등"
건축.주택,주택,150810,양정자이더샵SKVIEW(부산),2021-09-14,2025-01-31,김성수 CM,강현선 공무,이승호  ,35,     373,     297,85.2,84.5,202408,9차,변경,[2023.12.19] 전체실행,완료,36,부산광역시 부산진구 양정동 73-7번지 일원," - 11개동(지하5층~34층)
 - 아파트 1,035세대
 - 지하주차장(지하5층)
 - 근린생활시설"
건축.주택,주택,211030,위례A2-7블록아파트건설공사(경기),2022-08-31,2026-09-03,박동근 CM,김동진  ,이용빈  ,34,     358,     324,10,10,202408,2차,부분,[2024.08.21] 방수공사,완료,25,경기도 성남시 수정구 창곡동 514,"1) 공사기간 : 2022.08.31 ~ 2026.09.03.
2) 사업규모 및 분류
   - 대지면적 : 52,722m2,  연면적 : 178,625.79m2
   - 건폐율 : 19.64%, 용적율 : 220.61%
   - 아파트 :  22개동, 1,309세대, 지하2~23층, 주차 1,658대
   - 사업분류 : 공동(w. 동부건설/계룡건설/대보건설), 지분율50%(주간)/공공
   - 부대시설(경로당, 어린이집, 커뮤니티 시설), 근린생활시설

단위세대 구성
 - 70타입 군관사
 - 55타입 신혼희망(공분), 신혼행복"
건축.주택,주택,200630,강서자이에코델타(부산),2022-06-02,2025-03-31,김병수 CM,정필두 공무,황경업  ,34,     355,     323,73.5,73.4,202408,5차,전체실행,[2023.12.05] 전체실행,완료,28,부산광역시 강서구 강동동 4998-4,"- 아파트 : 856세대 / 10개동(B2F ~ 22F)
- 근린생황시설 : 730.7 M2
- 부대복리시설 : 주민편의시설, 경로당, 어린이집, 다함께돌봄센터 등 "
건축.주택,주택,211200,원호자이더포레(경북),2022-06-15,2025-05-31,김진일 CM,김승열 공무,김현수  ,27,     350,     336,,,,5차,전체실행,[2023.09.14] 전체실행,완료,27,경상북도 구미시 고아읍 원호리 90번지 ," 7개동 총  834세대 , 주차 1,224대(근생 포함), 철근 콘크리트 벽체 구조"
건축.주택,주택,220670,봉담자이라젠느(경기),2022-08-01,2025-03-31,김재관 CM,이진웅 공무,신대철  ,28,     333,     304,,,,6차,전체실행,[2023.12.01] [전체실행],완료,26,경기도 화성시 봉담읍 동화리 170 일원,". 아파트 7개동, 862세대, 지하 2층~지상 25층
. 주차대수: 1,148대 (1.33대/sd)
. 주민공동시설(1,123평)+근생(155평) 외"
건축.주택,주택,211250,제천자이더스카이(충북),2022-04-28,2025-10-31,류지영 CM,장호중 공무,김재경  ,27,     331,     301,60.8,60.1,202407,3차,전체실행,[2023.09.20] 전체실행,완료,29,충청북도 제천시 신월동 1474번지,"1) 공사기간 : 2022.04.28~2025.10.31 (42개월)
2) 사업규모 및 분류
   - 대지면적 : 21,563M2            연면적 : 130,094 
   - 건폐율 : 20.33%                    용적율 : 397.18%
   - 아파트 5개동,  713세대, 지하4층~지상37층, 주차대수 859대
   - 사업분류 : 단독/민간
3) 설계 : (주)종합건축사사무소 건원"
건축.주택,주택,220710,아산자이그랜드파크2블록(충남),2023-05-01,2026-02-28,조연태 CM,황의석 공무,신윤정  ,32,     326,     318,,,,4차,변경,"[2023.12.19] 부분실행_3차(미장,조적,방수 및 가스설비)",완료,17, 아산시 용화동 133-2,"6개동, 지하4층~지상37층, 849세대
근린생활시설, 주민공동시설(어린이집, 경로당), 스카이라운지(Club Cloud)
주차대수 <아파트 : 1,106대, 근생 : 51대, 1.36대/세대당>
조경면적 <법정 : 10,671.3m2, 계획 12.608.9m2 (35.45%)"
건축.주택,주택,150300,둔산자이아이파크(대전),2022-01-10,2025-06-30,박종윤 CM,민재기 공무,차동호  ,31,     308,     286,58.4,58.4,202406,5차,변경,[2024.09.12] 변경1차,완료,33,대전광역시 서구 탄방동 514-360번지,"1.건물규묘: 지하 2층~42층 (GS:50%, 현산50%)
    - 아파트: 12개동, 1,974세대 (GS: 6개동,982세대, 근생2동, 기전실)
    - 지하주차장: 지하 2층
    - 주차대수: 2,652대, 주민공동시설, 근린생활시설, 부대시설"
건축.주택,주택,221040,복대자이더스카이(충북),2023-01-20,2026-07-19,박찬수 CM,최용성 공무,신대철  ,24,     279,     241,31.9,31.8,202408,5차,변경,[전체실행],완료,20,충청북도 청주시 흥덕구 복대동 100-28,"지하3층~지상49층, 3개동, 715세대
주차장(B3F~1F), 주차대수 : 1,089대(세대당 1.50대)
근린생활시설 :1F
부대복리시설 : 휘트니스센터, 도서관, 어린이집, 경로당, 관리사무소 등"
인프라,인프라,101421,부산(만덕~센텀)지하도로(부산),2019-11-29,2024-11-28,최성욱 CM,박경관 공무,박정환  ,36,     272,     254,64.9,63.5,202408,9차,변경,"[2024.04.18] [2024.04.18] 7차변경 확정분,미확정분",완료,58,부산광역시 동래구 충렬대로 200,"공사금액 : 410,151백만원(전체분, 2023.06월 기준 경상가, VAT제외)
공사기간 : 2019년 11월 29일 ~ 2024년11월 28일  (60개월)
공사구간 : 부산광역시 동래구 온천동 ~ 해운대구 재송동
공동도급사 : GS건설(주)[71.42%], 경동건설(주)[7.94%]. 동성산업(주)[7.94%], (주)신화종합건설[7.94%], (주)정명건설[3.17%], 한웅건설(주)[1.59%]
주요공사 : L=5.3km(왕복4차로 대심도 지하차도), 설계속도 80km/h, 영업소 2개소(본선1개소, IC 1개소), 진출입시설 2개소(중앙IC, 센텀IC)"
건축.주택,주택,200780,대구역자이더스타(대구),2021-09-01,2025-03-31,임창민 CM,김성회 공무,김태훈  ,21,     262,     223,87,85,202408,5차,변경,[2023.11.06] 전체실행,완료,37,대구광역시 북구 칠성동2가 500-2번지 일원,"3개동, 지하5층~지상48층, 505세대"
건축.주택,주택,201230,아산자이그랜드파크1블록(충남),2023-05-01,2026-02-28,김원래 CM,안기태 공무,신윤정  ,28,     257,     249,,,,4차,변경,"[2023.12.19] [2023.12.19] 부분실행_3차(미장,조적,방수 및 가스설비)",완료,17, 아산시 시민로 194번길 59-3,"5개동, 지하4층~지상35층, 739세대
근린생활시설, 주민공동시설(어린이집, 경로당), 스카이라운지(Club Cloud)
주차대수 <아파트 : 961대, 근생 : 6대, 1.31대/세대당>
조경면적 <법정 : 9,526.5m2, 계획 11.300.9m2 (35.59%)"
건축.주택,주택,220150,이천자이더리체(경기),2023-11-01,2026-07-31,김동희 CM,정준화 공무,이승호  ,26,     255,     208,,,,3차,전체실행,[2024.08.22] 전체실행,진행중,11,경기도 이천시 증포동 323-30번지 일원," APT 7개동,  지하2층, 지상21~25층,  558세대,  84A, 84B, 84C, 84D, 101, 120타입,  RC(철근콘크리트조) / 개별난방,  최고높이 74.425M
주차대수 901대 (1.61대/세대),  조경면적 10,920M2 (대지면적의 38.12%)
경로당, 어린이집, 작은도서관 외 주민공동시설 등"
건축.주택,주택,140310,마포자이힐스테이트라첼스(서울),2023-11-01,2027-03-31,이준호 CM,이승한 공무,차동호  ,37,     237,     241,8.9,8.7,202408,1차,부분,[2024.03.28] [2024.03.20] [부분] 부분실행_1차(전기+설비),완료,11,서울특별시 마포구 공덕동 105-84번지 일대,"아파트 10개동, 지하4층 ~ 지상22층, 1,101세대, 지하주차장 1,659대(세대당 1.51대), 관리사무소, 주민공동시설, 근린생활시설"
건축.주택,주택,210200,이천자이더파크(경기),2021-10-01,2024-11-21,김현재 CM,이민호 공무,이승호  ,32,     237,     182,99,94.4,202408,6차,변경,[2024.09.13] 설계변경 1차,완료,36,경기도 이천시 관고동 산 13-1번지 일원,"건물규모 : 지하3층~지상18/25층 (RC)
- 아파트 11개동(테라스 4동), 706세대
- 지하주차장 : 지하3층+데크3층
- 주차대수 : 아파트 998대(1.41대/세대) 근린생활시설 21대, 총1,019대

부대복리시설
- 근린생활시설, 부대복리시설(관리사무소,경로당,보육시설 등), 경비실"
건축.주택,건축,240310,Westin Seoul Parnas 리모델링공사(서울),2024-08-01,2025-07-31,윤규열 CM,이상원  ,황경업  ,29,     235,     217,,,,차,-,, ,1,서울시 강남구 삼성동 159번지 외 2필지,"공사명:Westin Seoul Parnas 리모델링공사
주소:서울 강남구 삼성동 159번지외 2필지
공사기간:2024년 7월 ~ 2025년 7월
규모:지하6층(UT실,주차장,연회장), 지상29층(객실 외 공용부)
연면적 : 109,978㎡(33,268평) "
